OBJECTID,分區,District,人口密度,Population_Density,Shape__Area,Shape__Length,總人口,Total_population
1,黃大仙,Wong Tai Sin,43730,43730,10927836.5917969,17995.6407816191,406802,406802
2,九龍城,Kowloon City,40994,40994,11842856.2558594,31834.409404422,410634,410634
3,觀塘,Kwun Tong,59704,59704,13221241.3144531,25496.7001639176,673166,673166
4,西貢,Sai Kung,3771,3771,160294419.777344,365545.476363366,489037,489037
5,北區,North,2269,2269,161918446.792969,192815.532996074,309631,309631
6,中西區,Central and Western,18808,18808,14604578.8769531,26733.7008643114,235953,235953
7,灣仔,Wan Chai,15791,15791,11614897.9023438,19548.0752977317,166695,166695
8,東區,Eastern,29440,29440,21842113.2226563,36188.4566662104,529603,529603
9,屯門,Tuen Mun,5908,5908,99210907.7792969,99074.9324411342,506879,506879
10,元朗,Yuen Long,4825,4825,164876791.396484,91328.8561912303,668080,668080
11,南區,Southern,6779,6779,46449336.9433594,112548.313474808,263278,263278
12,離島,Islands,1021,1021,209285766.205078,352295.332948838,185282,185282
13,深水埗,Sham Shui Po,46067,46067,11008148.9589844,28395.3063120678,431090,431090
14,油尖旺,Yau Tsim Mong,44458,44458,8227532.83789063,23294.538692707,310647,310647
15,葵青,Kwai Tsing,21246,21246,27417888.1484375,56502.1676573617,495798,495798
16,荃灣,Tsuen Wan,5168,5168,73361744.5351563,95321.1315447104,320094,320094
17,大埔,Tai Po,2325,2325,174277984.107422,232672.740451271,316470,316470
18,沙田,Sha Tin,10082,10082,81294739.2363281,56848.2079493512,692806,692806
